Cell,Type,Value
E18_1_C13,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.30233215174963
E18_1_C13,Macrophage.Adult.Temporal.Lobe1..1,0.231526558630384
E18_1_C13,Endothelial.progenitor.cell.Adult.Ileum2.,0.227472713237762
E18_1_C13,Stromal.cell.Adult.Adipose1.,0.0414411115161257
E18_1_C13,Stellate.cell.Liver_Camp.,0.0382867098131298
E18_1_C13,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.00980011080673765
E18_1_C13,M2.Macrophage.Adult.Adipose1.,0.00171078337350849
E18_1_C13,Adipocyte_SPP1.high.Adult.Adipose1.,0.00152721311864944
E18_1_C13,Basal.cell_KRT6A.high.Adult.Trachea2.,0.00049001761361993
E18_1_C13,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_1_C13,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_1_C13,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_1_C45,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.30233215174963
E18_1_C45,Macrophage.Adult.Temporal.Lobe1..1,0.231526558630384
E18_1_C45,Endothelial.progenitor.cell.Adult.Ileum2.,0.227472713237762
E18_1_C45,Stromal.cell.Adult.Adipose1.,0.0414411115161257
E18_1_C45,Stellate.cell.Liver_Camp.,0.0382867098131298
E18_1_C45,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.00980011080673765
E18_1_C45,M2.Macrophage.Adult.Adipose1.,0.00171078337350849
E18_1_C45,Adipocyte_SPP1.high.Adult.Adipose1.,0.00152721311864944
E18_1_C45,Basal.cell_KRT6A.high.Adult.Trachea2.,0.00049001761361993
E18_1_C45,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_1_C45,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_1_C45,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_3_C26,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.30233215174963
