Cell,Type,Value
E18_3_C06,AT1 Cell(Lung),0.440984952757026
E18_3_C06,AT2 Cell(Lung),0.301044310789369
E18_3_C06,Alveolar bipotent progenitor(Lung),0.300432928981677
E18_3_C06,Epithelial Cells(Lung-Mesenchyme),0.277852443467256
E18_3_C06,Ciliated cell(Lung),0.270470615226497
E18_3_C06,Clara Cell(Lung),0.253318751200152
E18_3_C06,Epithelial cell_Sftpc high(Fetal_Lung),0.239684098186392
E18_3_C06,Stromal cell_Inmt high(Lung),0.236590330062954
E18_3_C06,Dividing cells(Lung),0.229243531001771
E18_3_C06,Stromal cell_Aspn high(Lung-Mesenchyme),0.214161763942157
E18_3_C06,Stromal cell_Inmt high(Lung-Mesenchyme),0.209366302718282
E18_3_C06,Ependymocytes(Arc-Me),0.197997728894667
E18_2_C88,AT1 Cell(Lung),0.424299541898671
E18_2_C88,Alveolar bipotent progenitor(Lung),0.314935707723568
E18_2_C88,AT2 Cell(Lung),0.301857894664555
E18_2_C88,Epithelial Cells(Lung-Mesenchyme),0.273208849610584
E18_2_C88,Ciliated cell(Lung),0.255707796026782
E18_2_C88,Clara Cell(Lung),0.253810111248218
E18_2_C88,Epithelial cell_Sftpc high(Fetal_Lung),0.235018660310479
E18_2_C88,Stromal cell_Inmt high(Lung),0.233412631903747
E18_2_C88,Dividing cells(Lung),0.230378343702318
E18_2_C88,Stromal cell_Inmt high(Lung-Mesenchyme),0.209013161275684
E18_2_C88,Stromal cell_Aspn high(Lung-Mesenchyme),0.198792654012216
E18_2_C88,Ependymocytes(Arc-Me),0.149558796092615
E18_1_C67,AT1 Cell(Lung),0.455739675365746
E18_1_C67,Alveolar bipotent progenitor(Lung),0.324406588175313
E18_1_C67,AT2 Cell(Lung),0.311042824972204
E18_1_C67,Epithelial Cells(Lung-Mesenchyme),0.274817045264501
E18_1_C67,Clara Cell(Lung),0.259357657868682
E18_1_C67,Ciliated cell(Lung),0.256396795139042
E18_1_C67,Epithelial cell_Sftpc high(Fetal_Lung),0.244518106765039
E18_1_C67,Dividing cells(Lung),0.243200496385796
E18_1_C67,Stromal cell_Inmt high(Lung),0.227407214280571
E18_1_C67,Stromal cell_Inmt high(Lung-Mesenchyme),0.215668843967936
E18_1_C67,Stromal cell_Aspn high(Lung-Mesenchyme),0.206344019218215
E18_1_C67,Ependymocytes(Arc-Me),0.163612114487939
E18_2_C20,AT1 Cell(Lung),0.45234171579552
E18_2_C20,Alveolar bipotent progenitor(Lung),0.325802937810935
E18_2_C20,AT2 Cell(Lung),0.309571595129944
E18_2_C20,Ciliated cell(Lung),0.269633619187374
E18_2_C20,Epithelial cell_Sftpc high(Fetal_Lung),0.264179135804015
E18_2_C20,Clara Cell(Lung),0.260359627220382
E18_2_C20,Dividing cells(Lung),0.234720889025146
E18_2_C20,Epithelial Cells(Lung-Mesenchyme),0.232484550905574
E18_2_C20,Stromal cell_Inmt high(Lung),0.224786655178057
E18_2_C20,Stromal cell_Aspn high(Lung-Mesenchyme),0.191759305700663
E18_2_C20,Stromal cell_Inmt high(Lung-Mesenchyme),0.182264795837936
E18_2_C20,Ependymocytes(Arc-Me),0.17479429004469
