p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
0 3.72745364179133 1 0.607 0 1 Plp1
0 3.72213268842558 0.984 0.182 0 1 Trf
0 3.69250036960713 0.989 0.112 0 1 Mog
0 3.43660849473505 0.967 0.265 0 1 Mal
0 3.42124412731001 0.946 0.168 0 1 Apod
0 3.31095637660996 0.999 0.168 0 1 Ugt8a
0 3.30434891381575 0.787 0.119 0 1 Ptgds
0 3.25686573827506 0.994 0.14 0 1 Mobp
0 3.24776994728599 0.999 0.397 0 1 Mbp
0 3.24730863185212 0.971 0.136 0 1 Ermn
0 3.1831215582204 0.999 0.241 0 1 Cnp
0 3.00051951139102 0.833 0.073 0 1 Opalin
0 2.99373494586612 0.97 0.413 0 1 Car2
0 2.84196861457406 0.998 0.133 0 1 Mag
0 2.80736796829688 0.991 0.319 0 1 Cryab
0 2.80087053953017 0.998 0.178 0 1 Cldn11
0 2.78955807545476 0.998 0.343 0 1 Tspan2
0 2.76391530200779 0.91 0.083 0 1 Aspa
0 2.68256575402536 0.99 0.202 0 1 Gsn
0 2.66513817315466 0.988 0.512 0 1 Qdpr
0 2.62368542019625 0.941 0.092 0 1 Pdlim2
0 2.61649515107853 0.982 0.098 0 1 Tmem88b
0 2.59978036206939 0.999 0.412 0 1 Enpp2
0 2.45427965415699 0.896 0.21 0 1 Grb14
0 2.25777959041614 0.991 0.579 0 1 Dbndd2
0 2.23581449808874 0.938 0.097 0 1 Pllp
0 2.17398600181945 0.984 0.616 0 1 Rnf13
0 2.15916053030542 0.955 0.289 0 1 Gpr37
0 2.15642524679473 0.993 0.187 0 1 Cmtm5
0 2.0835753020149 0.999 0.78 0 1 Taldo1
0 2.07613773860686 0.977 0.272 0 1 Gatm
0 2.04764073553957 0.956 0.119 0 1 Elovl7
0 2.02026555307824 1 0.874 0 1 Scd2
0 2.0097358922857 0.978 0.311 0 1 Cers2
0 2.00173773780364 0.845 0.059 0 1 Car14
0 1.99744834602254 0.985 0.808 0 1 Hmgcs1
0 1.9543111644123 0.972 0.369 0 1 Psat1
0 1.94298905083872 0.873 0.147 0 1 Phldb1
0 1.92821303932989 0.883 0.081 0 1 Gjc3
0 1.88820602200215 0.973 0.268 0 1 Cd9
0 1.8574242591645 0.944 0.42 0 1 Tmeff2
0 1.82093756119061 0.928 0.274 0 1 Jam3
0 1.81531217392036 0.813 0.102 0 1 Lpar1
0 1.80234122631342 0.761 0.051 0 1 Tnfaip6
0 1.80023268637629 0.859 0.121 0 1 Litaf
0 1.7923464416805 0.912 0.112 0 1 Elovl1
0 1.78704171894977 0.982 0.25 0 1 Csrp1
0 1.78434405541938 0.852 0.151 0 1 Gamt
0 1.78199729246032 0.982 0.449 0 1 Slc12a2
0 1.7768781075873 0.889 0.147 0 1 Olig1
0 1.73193409417419 0.978 0.658 0 1 Slc48a1
0 1.72426685587101 0.895 0.161 0 1 Plekhb1
0 1.70609872219838 0.977 0.4 0 1 Npc2
0 1.68735234350343 0.761 0.049 0 1 Gjc2
0 1.65827422675615 0.856 0.124 0 1 Tmbim1
0 1.65351100862299 0.955 0.529 0 1 Bpgm
0 1.65059573150158 0.898 0.218 0 1 Slc44a1
0 1.62707246775219 0.75 0.038 0 1 Tmem125
0 1.57011178475385 0.809 0.121 0 1 Gltp
0 1.50125340649269 0.74 0.062 0 1 Adamts4
0 1.49004868477596 0.783 0.11 0 1 Carhsp1
0 1.47385007497284 0.82 0.093 0 1 Cd82
0 1.46315164584272 0.709 0.055 0 1 Bcas1
0 1.42594496857137 0.829 0.173 0 1 Wscd1
0 1.35820285051545 0.717 0.067 0 1 Plekhh1
0 1.35235155285786 0.695 0.054 0 1 Efhd1
0 1.31742508739874 0.66 0.036 0 1 Gjb1
0 1.31211072517309 0.767 0.091 0 1 Tmem63a
2.34071454205797e-305 1.6811253322028 1 0.921 4.24020439293802e-301 1 Cd81
4.49830617928049e-303 1.39344894915688 0.655 0.043 8.1486816437666e-299 1 Galnt6
2.96530379629604e-302 1.60110072228458 0.762 0.119 5.37164782699028e-298 1 Dock10
2.28013369275573e-301 1.3851704698103 0.905 0.187 4.130462184427e-297 1 Phgdh
2.33486639277985e-300 1.90323415065028 0.952 0.525 4.2296104705207e-296 1 Sirt2
8.87775754876928e-296 1.42737496477259 0.738 0.096 1.60820577995955e-291 1 Rhog
3.56600565467918e-295 1.5235322273757 0.959 0.544 6.45981924345134e-291 1 Sypl
8.27240438550296e-294 1.50533147543799 0.743 0.104 1.49854605443386e-289 1 Unc5b
4.64835417672712e-292 1.66212801675372 0.979 0.751 8.42049359114118e-288 1 Rnf7
8.47275877990829e-288 1.80776553185992 0.604 0.032 1.53484025298039e-283 1 Hapln2
3.0456170233544e-287 1.60950153946485 0.996 0.697 5.5171352378065e-283 1 Qk
3.82635040668296e-286 1.42448504531846 0.687 0.082 6.93143376170618e-282 1 Cdc42ep2
1.6443172912569e-284 1.33265403904794 0.798 0.141 2.97868077311188e-280 1 S100a16
1.40919116030448e-281 1.47626484675813 0.899 0.32 2.55274978689157e-277 1 Lap3
3.89854470982204e-281 1.15058654705999 0.589 0.03 7.06221374184262e-277 1 Nkx6-2
1.16748801026271e-280 1.14187335153666 0.71 0.083 2.11490453059089e-276 1 Cdc42ep1
2.21593810193088e-278 1.14712814839548 0.876 0.184 4.01417187164779e-274 1 Kcnj10
6.76249199077165e-277 1.37787109566723 0.594 0.037 1.22502542412828e-272 1 Smco3
3.04570537124657e-276 1.80638751211543 0.887 0.375 5.51729528001317e-272 1 Cyp51
7.30443258928418e-273 1.20559532446637 0.998 0.973 1.32319796354883e-268 1 Ptma
2.43897918905196e-268 1.40921245810657 0.707 0.1 4.41821080096763e-264 1 Myo1d
1.31148117764225e-267 1.25351958556157 0.761 0.128 2.37574815329893e-263 1 Ttyh2
3.4538667871253e-267 1.56720296333455 0.683 0.081 6.25667968487749e-263 1 Fa2h
6.93228667081883e-267 1.41472573557876 0.983 0.741 1.25578373041883e-262 1 Pcdh9
8.57821758696388e-266 1.44238115750896 0.952 0.635 1.55394411587851e-261 1 Aatk
1.36421487640902e-264 1.72157332678301 0.829 0.253 2.47127524861494e-260 1 Ddr1
3.51238153929403e-264 1.23234955294128 0.591 0.042 6.36267915843114e-260 1 Hhip
4.92034640975692e-264 1.35061364736899 0.835 0.28 8.91320752127467e-260 1 Il1rap
5.68856474806603e-264 1.74058705663428 0.866 0.31 1.03048350411216e-259 1 Ndrg1
1.03265694610841e-263 1.15430578204533 0.635 0.068 1.87065805787538e-259 1 St18
4.36717411020546e-263 1.37526849818311 0.976 0.774 7.9111359006372e-259 1 Vmp1
1.35136229259695e-262 1.21715837360165 0.646 0.08 2.44799279303938e-258 1 Arsg
0 2.2550520013178 0.977 0.094 0 2 Crym
0 1.86966589298843 0.994 0.418 0 2 Hpca
0 1.79461048766062 0.996 0.246 0 2 Neurod6
0 1.78071716385554 0.985 0.278 0 2 Cpne6
0 1.77007778356811 1 0.418 0 2 Gria1
0 1.7065099418748 0.87 0.165 0 2 Wfs1
0 1.57948624239237 0.997 0.464 0 2 Tspan13
0 1.54302652819123 1 0.729 0 2 Ppp3ca
0 1.52956337030747 0.901 0.14 0 2 Cpne7
0 1.4717744355954 0.835 0.021 0 2 Spink8
0 1.46171950478392 0.921 0.144 0 2 Wipf3
0 1.43655504681768 1 0.475 0 2 Grm5
0 1.42481443212976 0.997 0.398 0 2 Camkv
0 1.42012812589491 0.99 0.361 0 2 Rasgrp1
0 1.41553079897259 0.84 0.076 0 2 Fibcd1
0 1.40542105499941 0.892 0.131 0 2 Lpl
0 1.39594798294279 0.951 0.149 0 2 Gabra5
0 1.38128285136405 0.976 0.214 0 2 Dgkg
0 1.35107369823518 0.973 0.274 0 2 2010300C02Rik
0 1.33377747668966 0.99 0.375 0 2 Fam131a
0 1.33170763409484 0.97 0.278 0 2 Ptk2b
0 1.32663445928191 0.978 0.312 0 2 Ociad2
0 1.32430567418356 0.966 0.221 0 2 Bcl11b
0 1.32233116848143 0.994 0.452 0 2 Wasf1
0 1.30375204945448 0.981 0.328 0 2 Tenm2
0 1.27596015978048 0.915 0.092 0 2 St6galnac5
0 1.26585079417046 0.941 0.204 0 2 Itpka
0 1.26301959646097 0.977 0.299 0 2 Rasgrf1
0 1.25816149073995 0.965 0.314 0 2 Gpr22
0 1.25456634537735 0.957 0.264 0 2 Ddn
0 1.22813525963242 0.924 0.138 0 2 Iqgap2
0 1.20862558598576 0.917 0.164 0 2 Rgs14
0 1.18903843557015 0.998 0.436 0 2 Nsg2
0 1.16262849218892 0.978 0.367 0 2 Mmd
0 1.14954554118935 0.918 0.222 0 2 Scn3b
0 1.10190252876105 0.927 0.212 0 2 Icam5
0 1.00774649959106 0.82 0.1 0 2 Sertm1
0 0.968864778652336 0.904 0.195 0 2 Rprml
0 0.95090908571912 0.857 0.137 0 2 Galnt9
0 0.871541335885296 0.829 0.105 0 2 Spon1
1.78870082096895e-306 1.07020368365516 0.924 0.258 3.24023153718526e-302 2 Lrrn2
1.06307149881211e-305 1.45868411530896 1 0.814 1.92575402009814e-301 2 Atp2b1
1.64507864270907e-303 1.17409443932294 1 0.745 2.98005996126748e-299 2 Gria2
1.30898920339329e-300 1.11349074099382 0.945 0.288 2.37123394194694e-296 2 Gabra2
